id,doi,year,auteurs,title,review,keywords,text,methods,fields,remarque,,,,,,,,,,,,,,,,,,,,,
11,10.2501/IJMR-2014-014,2014,"Gunter, Barrie; Koteyko, Nelya; Atanasova, Dimitrinka",Sentiment Analysis: A Market-Relevant and Reliable Measure of Public Feeling?,International Journal of Market Research,"sentiment, tools","This paper critically examines emergent research with sentiment analysis tools to assess their current status and relevance to applied opinion and behaviour measurement. The rapid spread of online news and online chatter in blogs, micro-blogs and social media sites has created a potentially rich source of public opinion. Waves of public feeling are vented spontaneously on a wide range of issues on a minute-by-minute basis in the online world. These online discourses are continually being refreshed, and businesses and advertisers, governments and policy makers have woken up to the fact that this universe of self-perpetuating human sentiment could represent a valuable resource to guide political and business decisions. The massive size of this repository of emotional content renders manual analysis of it feasible only for tiny portions of its totality, and even then can be labour intensive. Computer scientists have however produced software tools that can apply linguistic rules to provide electronic readings of meanings and emotions. These tools are now being utilised by applied social science and market researchers to yield sentiment profiles from online discourses created within specific platforms that purport to represent reliable substitutes for more traditional, offline measures of public opinion. This paper considers what these tools have demonstrated so far and where caution in their application is still called for.","sentiment, LIWC","small sample, reviews",,,,,,,,,,,,,,,,,,,,,,
12,,2014,"Huber, Joel; Kamakura, Wagner; Mela, Carl F.",A Topical History of JMR,Journal of Marketing Research,"literature review, topic","Using subject indexes and text mining of author abstracts, the authors track the evolution of content in Journal of Marketing Research since its inception 50 years ago. These data reveal that the journal has expanded beyond its initial emphasis on marketing research methods and advertising to increase its coverage of other substantive topics and consumer behavior. Moreover, a joint space of topics and editors reveals that editorial orientations appear largely evolutionary rather than revolutionary and that a major shift in journal coverage occurs at the time Marketing Science began publication. The authors conclude their analysis with several policy recommendations. This special issue commemorates the 50th anniversary of Journal of Marketing Research (JMR) by assembling retrospective summaries of its content over that half century. Collectively, these essays document the evolution of the marketing field, reflecting the perspectives of the editors who ran its most inclusive premier journal (for a list of past editors in chronological order, see Table 1). This retrospective enables current scholars to place their own work in a broader historical context and illuminates future directions of inquiry for the field.",literature review,,,,,,,,,,,,,,,,,,,,,,,
13,,2015,"Chen, Kun; Kou, Gang; Shang, Jennifer; Chen, Yang","Visualizing market structure through online product reviews: Integrate topic modeling, TOPSIS, and multi-dimensional scaling approaches",Electronic Commerce Research and Applications,"Market structure,Text mining,Topic modeling,Ranking of products,TOPSIS","Studies have shown that perceptual maps derived from online consumer-generated data are effective for depicting market structure such as demonstrating positioning of competitive brands. However, most text mining algorithms would require manual reading to merge extracted product features with synonyms. In response, Topic modeling is introduced to group synonyms together under a topic automatically, leading to convenient and accurate evaluation of brands based on consumers’ online reviews. To ensure the feasibility of employing Topic modeling in assessing competitive brands, we developed a unique and novel framework named WVAP (Weights from Valid Posterior Probability) based on Scree plot technique. WVAP can filter the noises in posterior distribution obtained from Topic modeling, and improve accuracy in brand evaluation. A case study exploring online reviews of mobile phones is conducted. We extract topics to reflect the features of the cell phones with a qualified validity. In addition to perceptual maps derived by multi-dimensional scaling (MDS) for product positioning, we also rank these products by TOPSIS (Technique for Order Performance by Similarity to Ideal Solution) so as to visualize the market structure from different perspectives. Our case study of cell phones shows that the proposed framework is effective in mining online reviews and providing insights into the competitive landscape.","MDS, Topic modeling, topsis",,,,,,,,,,,,,,,,,,,,,,,
14,,2015,"Tang, Chuanyi; Guo, Lin",Digging for gold with a simple tool: Validating text mining in studying electronic word-of-mouth (eWOM) communication,Marketing Letters,"Electronic word-of-mouth.,Textmining,.Linguistic indicator, Attitude","Text-based electronic word-of-mouth (eWOM) communication has increasingly become an important channel for consumers to exchange information about products and services. How to effectively utilize the enormous amount of text information poses a great challenge to marketing researchers and practitioners. This study takes an initial step to investigate the validities and usefulness of text mining, a promising approach in generating valuable information from eWOM communication. Bilateral data were collected from both eWOM senders and readers via two web-based surveys. Results provide initial evidence for the validity and utility of text mining and demonstrate that the linguistic indicators generated by text analysis are predictive of eWOMcommunicators’ attitudes toward a product or service. Text analysis indicators (e.g., Negations and Money) can explain additional variance in eWOM communicators’ attitudes above and beyond the star ratings and may become a promising supplement to the widely used star ratings as indicators of eWOM valence.",,,,,,,,,,,,,,,,,,,,,,,,
15,,2015,"Tang, Chuanyi; Guo, Lin",Digging for gold with a simple tool: Validating text mining in studying electronic word-of-mouth (eWOM) communication,Marketing Letters,"Electronic word-of-mouth , Text mining , Linguistic indicator, Attitude","Text-based electronic word-of-mouth (eWOM) communication has increasingly become an important channel for consumers to exchange information about products and services. How to effectively utilize the enormous amount of text information poses a great challenge to marketing researchers and practitioners. This study takes an initial step to investigate the validities and usefulness of text mining, a promising approach in generating valuable information from eWOM communication. Bilateral data were collected from both eWOM senders and readers via two web-based surveys. Results provide initial evidence for the validity and utility of text mining and demonstrate that the linguistic indicators generated by text analysis are predictive of eWOM communicators’ attitudes toward a product or service. Text analysis indicators (e.g., Negations and Money) can explain additional variance in eWOM communicators’ attitudes above and beyond the star ratings and may become a promising supplement to the widely used star ratings as indicators of eWOM valence.",,,,,,,,,,,,,,,,,,,,,,,,
16,,2015,"Wang, Xin (Shane); Bendle, Neil T.; Mai, Feng; Cotte, June",The Journal of Consumer Research at 40: A Historical Analysis,Journal of Consumer Research,"topic modeling, Journal of Consumer Research, historical analysis, citation analysis","This article reviews 40 years of the Journal of Consumer Research (JCR). Using text mining, we uncover the key phrases associated with consumer research. We use a topic modeling procedure to uncover 16 topics that have been featured in the journal since its inception and to show the trends in topics over time. For example, we highlight the decline in family decision-making research and the flourishing of social identity and influence research since the journal’s inception. A citation analysis shows which JCR articles have had the most impact and compares the topics in top-cited articles with all JCR journal articles. We show that methodological and consumer culture articles tend to be heavily cited. We conclude by investigating the scholars who have been the top contributors to the journal across the four decades of its existence. And to better understand which schools have contributed most to the knowledge of consumer research over this history, we provide an analysis of where these top-performing scholars were trained. Our approach shows that the JCR archives can be an excellent source of data for scholars trying to understand the complicated, challenging, and dynamic field of consumer research.",,,,,,,,,,,,,,,,,,,,,,,,
17,,2016,"Berezina, Katerina; Bilgihan, Anil; Cobanoglu, Cihan; Okumus, Fevzi",Understanding Satisfied and Dissatisfied Hotel Customers: Text Mining of Online Hotel Reviews,Journal of Hospitality Marketing & Management,"hotel reviews,text mining,user generated content,customer satisfaction,dissatisfaction","This article aims to examine the underpinnings of satisfied and unsatisfied hotel customers. A text-mining approach was followed and online reviews by satisfied and dissatisfied customers were compared. Online reviews of 2,510 hotel guests were collected from TripAdvisor.com for Sarasota, Florida. The research findings revealed some common categories that are used in both positive and negative reviews, including place of business (e.g., hotel, restaurant, and club), room, furnishing, members, and sports. Study results further indicate that satisfied customers who are willing to recommend a hotel to others refer to intangible aspects of their hotel stay, such as staff members, more often than unsatisfied customers. On the other hand, dissatisfied customers mention more frequently the tangible aspects of the hotel stay, such as furnishing and finances. The study offers clear theoretical and managerial implications pertaining to understanding of satisfied and dissatisfied customers through the use of text mining and hotel ratings via review websites, social media, blogs, and other online platforms.",sentiment analysis,,,,,,,,,,,,,,,,,,,,,,,
18,,2016,"Buzova, Daniela; Sanz-Blas, Silvia; Cervera-Taulet, Amparo",Cross-cultural Perceptions of Onshore Guided Tours: A Qualitative Approach Based on eWOM,Psychology & Marketing,"experience, reviews, leximancer","Recognizing the importance of the study of guided tour experiences and being aware of the cross-cultural variations of services’ perceptions, the purpose of this article is to examine if cruise tourists from the two main generating markets (Europe and North America) perceive differently a port of call guided tour based on the content of the eWOM generated. The data set was comprised of 334 reviews on guided tours undertaken in Spanish ports of call and published during the period 2009–2015 on the major travel Web site Tripadvisor. The thematic content analysis of the data was performed using the text mining software Leximancer. The results yielded different pictures for the experiences described by both cultures, with Europeans valuing the tour in terms of efficiency and North Americans praising guide's performance and tailor-made tour services. Based on these findings, practical implications are discussed.",leximancer,small sample of reviews,,,,,,,,,,,,,,,,,,,,,,
19,10.1016/j.intmar.2016.05.004,2016,"Felbermayr, Armin; Nanopoulos, Alexandros",The Role of Emotions for the Perceived Usefulness in Online Customer Reviews,Journal of Interactive Marketing,"Emotions,Online customer reviews,Helpfulnes, Electronic word-of-mouth,Text mining","Online customer reviews often express emotions. This can enable marketers to analyze the textual content of online reviews with the aim to understand the role of emotions and how they can affect other customers. In this paper, we present an approach to extracting emotion content from online reviews in order to measure the importance of various emotion dimensions within different product categories. The approach uses an emotion lexicon to extract emotion terms, while it also builds a classification model to measure the importance of emotion dimensions based on the quality of reviews. Review quality is measured based on the usefulness of online customer reviews, which are perceived and evaluated by other customers through their helpfulness ratings. This approach allows the identification of emotion dimensions that characterize qualitative reviews. The empirical evaluation in our study suggests that trust, joy, and anticipation are the most decisive emotion dimensions, although substantial variance across product categories can also be detected. Additionally, we compared two contrasting emotion dictionaries. One lexicon was crowd-funded and contained a large vocabulary, whereas the other was more focused and smaller, since it was created word-wise by an expert. Our empirical findings indicate that the crowd-funded solution outperforms its smaller counterpart in terms of classification precision. The main implication of this study is that it adds an emotional perspective to the broad set of existing tools that marketers employ to analyzing online reviews. Our contributions are: i) we are the first to analyze emotions' role in online customer reviews; ii) we demonstrate how to develop a big data model such as this, without external assistance; iii) we show how to interpret the results of the created model; and iv) we show which dictionary to prefer when creating the model.","sentiment analysis, emotions, usefulness, dictionnary","amazon, reviews, very large sample",,,,,,,,,,,,,,,,,,,,,,
20,,2016,"Huang, Zhongqiang (Tak); Kwong, Jessica Y.Y.",Illusion of variety: Lower readability enhances perceived variety,International Journal of Research in Marketing,"Readability,Variety perceptions,Metacognition","Previous research has devoted much attention to the direct consequences of an assortment's content (e.g., actual number of different options) and structural features (e.g., organization of an assortment) on perceptions of variety. The present research, however, shows that a superficial feature, i.e., font readability of a menu or catalog, can influence variety perceptions even when the actual content or structure of an assortment remains unchanged. Four studies reveal that perceived variety is higher when the menu or catalog of an assortment is more difficult to read. This readability effect stems from the subjective interpretation of the feeling of difficulty. That is, consumers often endorse a lay belief that it is more difficult to make choices when they face a greater variety of options. For this reason, the readability effect is attenuated when this belief is (chronically or momentarily) less accessible. The increase in perceived variety induced by low readability can boost satisfaction with a store when consumers have a goal of seeking variety. Our research contributes to the understanding of determinants of variety perceptions and the consequences of metacognitive difficulty.",,,,,,,,,,,,,,,,,,,,,,,,
21,,2016,"Ludwig, Stephan; de Ruyter, Ko",Decoding social media speak: developing a speech act theory research agenda,Journal of Consumer Marketing,"text mining, social media communication, speech act theory","Drawing on the theoretical domain of speech act theory (SAT) and a discussion of its suitability for setting the agenda for social media research, this study aims to explore a range of research directions that are both relevant and conceptually robust, to stimulate the advancement of knowledge and understanding of online verbatim data. Design/methodology/approach – Examining previously published cross-disciplinary research, the study identifies how recent conceptual and empirical advances in SAT may further guide the development of text analytics in a social media context. Findings – Decoding content and function word use in customers’ social media communication can enhance the efficiency of determining potential impacts of customer reviews, sentiment strength, the quality of contributions in social media, customers’ socialization perceptions in online communities and deceptive messages. Originality/value – Considering the variety of managerial demand, increasing and diverging social media formats, expanding archives, rapid development of software tools and fast-paced market changes, this study provides an urgently needed, theory-driven, coherent research agenda to guide the conceptual development of text analytics in a social media context.",,,,,,,,,,,,,,,,,,,,,,,,
22,,2016,"Moon, Sangkil; Mishra, Arul; Mishra, Himanshu; Kang, Moon Young",Cultural and Economic Impacts on Global Cultural Products: Evidence from U.S. Movies,Journal of International Marketing,"global product, consumer culture, text mining, movie","Existing international product diffusion studies have identified economic and cultural factors that influence consumers’ acceptance of new products, but they have not fully examined these factors’ roles in the international diffusion of global cultural products. The authors examine country-level economic and cultural factors that influence consumers’ acceptance of new global cultural products across countries. Using 846 recent U.S. movies’ box office performances in 48 national markets as the empirical context, the authors obtain the following key novel findings on product sales: (1) an inverse U-shaped impact of economic development status, (2) a positive impact of the cultural compatibility of the product and the market, and (3) a U-shaped impact of intercountry cultural distance in the presence of cultural compatibility and a decreasing linear impact of cultural distance in the absence of cultural compatibility.",,,,,,,,,,,,,,,,,,,,,,,,
23,,2017,"Cho, Yung-Jan; Fu, Pei-Wen; Wu, Chi-Cheng","Popular Research Topics in Marketing Journals, 1995–2014",Journal of Interactive Marketing,"Topic model,Text mining,Data visualization,Reproducible and collaborative research","During the past two decades, the focus of marketing has moved from the tactics of persuasion to the strategies of value cocreation. After moving toward cognitive science and corporate strategies in the early 2000s, marketing research returned to its traditional domains of consumer psychologies and customer management. While conscientious consumers are gradually restraining themselves from selfish indulgence, marketers have refocused on a new set of values that encompass mental, experiential, and societal well-being. In this regard, we adopt an unprecedented approach by incorporating topic modeling with social network analysis. The results show that, in terms of topic heterogeneity, the most impactful journals are the most diverse, whereas each runner-up has a unique focus. Among the journals, we detect two major co-authorship communities, and among the topics, we detect three. Further, we find that the communities of the most cited papers are composed of heterogeneous clusters of similar topics. The pivots within, and the bridges between, these communities are also reported. In the spirit of collaborative research, our topic model and network analysis are shared via online collaboration and visualization platforms that readers can use to explore our models interactively and to download the dataset for further studies.",,,,,,,,,,,,,,,,,,,,,,,,
24,10.1093/jcr/ucx104,2017,"Humphreys, Ashlee; Wang, Rebecca Jen-Hui",Automated Text Analysis for Consumer Research,Journal of Consumer Research,"automated text analysis, computer-assisted text analysis, automated content analysis, computational linguistics, methodology, dictionnary","The amount of digital text available for analysis by consumer researchers has risen dramatically. Consumer discussions on the internet, product reviews, and digital archives of news articles and press releases are just a few potential sources for insights about consumer attitudes, interaction, and culture. Drawing from linguistic theory and methods, this article presents an overview of automated text analysis, providing integration of linguistic theory with constructs commonly used in consumer research, guidance for choosing amongst methods, and advice for resolving sampling and statistical issues unique to text analysis. We argue that although automated text analysis cannot be used to study all phenomena, it is a useful tool for examining patterns in text that neither researchers nor consumers can detect unaided. Text analysis can be used to examine psychological and sociological constructs in consumer-produced digital text by enabling discovery or by providing ecological validity.","literature review, dictionnary tools",literature review,( à exploiter pour la biblio avant 2017),,,,,,,,,,,,,,,,,,,,,( à exploiter pour la biblio avant 2017)
25,,2017,"Liu, Xia; Burns, Alvin C.; Hou, Yingjian",An Investigation of Brand-Related User-Generated Content on Twitter,Journal of Advertising,"UGC, topic modeling, sentiment","The big data of user-generated content (UGC) on social media are laden with potential value for brand managers. However, there are many obstacles to using big data to answer brand-management questions. This article presents a framework that automatically derives latent brand topics and classifies brand sentiments. It applies text mining with latent Dirichlet allocation (LDA) and sentiment analysis on 1.7 million unique tweets for 20 brands across five industries: fast food, department store, footwear, electronics, and telecommunications. The framework is used to explore four brand-related questions on Twitter. There are three main findings. First, product, service, and promotions are the dominant topics of interest when consumers interact with brands on Twitter. Second, consumer sentiments toward brands vary within and across industries. Third, separate company-specific analyses of positive and negative tweets generate a more accurate understanding of Twitter users' major brand topics and sentiments. Our findings provide brand managers with actionable insights in targeted advertising, social customer relationship management (CRM), and brand management.","topic modeling, sentiment",,,,,,,,,,,,,,,,,,,,,,,
26,,2017,"Nam, Hyoryung; Joshi, Yogesh V.; Kannan, P.K.",Harvesting Brand Information from Social Tags,Journal of Marketing,"social tags, user-generated content, brand associative networks, text mining, topic modeling","Social tags are user-defined keywords associated with online content that reflect consumers’ perceptions of various objects, including products and brands. This research presents a new approach for harvesting rich, qualitative information on brands from user-generated social tags. The authors first compare their proposed approach with conventional techniques such as brand concept maps and text mining. They highlight the added value of their approach that results from the unconstrained, open-ended, and synoptic nature of consumer-generated content contained within social tags. The authors then apply existing text-mining and data-reduction methods to analyze disaggregate-level social tagging data for marketing research and demonstrate how marketers can utilize the information in social tags by extracting key representative topics, monitoring common dynamic trends, and understanding heterogeneous perceptions of a brand.","semantic network, LDA","delicious, tags",,,,,,,,,,,,,,,,,,,,,,
27,,2018,"Balducci, Bitty; Marinova, Detelina",Unstructured data in marketing,Journal of the Academy of Marketing Science,"Unstructured data , Machine learning , Deep learning , Artificial intelligence , Nonverbal , Image , Video , Voice , Text , Linguistics , Acoustic , Big data , Text mining","The rise of unstructured data (UD), propelled by novel technologies, is reshaping markets and the management of marketing activities. Yet these increased data remain mostly untapped by many firms, suggesting the potential for further research developments. The integrative framework proposed in this study addresses the nature of UD and pursues theoretical richness and computational advancements by integrating insights from other disciplines. This article makes three main contributions to the literature by (1) offering a unifying definition and conceptualization of UD in marketing; (2) bridging disjoint literature with an organizing framework that synthesizes various subsets of UD relevant for marketing management through an integrative review; and (3) identifying substantive, computational, and theoretical gaps in extant literature and ways to leverage interdisciplinary knowledge to advance marketing research by applying UD analyses to underdeveloped areas.",literature review,literature review,,,,,,,,,,,,,,,,,,,,,,
28,,2018,"He, Lifeng; Zhang, Ning; Yin, Lemin",The evaluation for perceived quality of products based on text mining and fuzzy comprehensive evaluation,Electronic Commerce Research,"Online shopping review, Text mining , Fuzzy comprehensive evaluation method, Product evaluation","With the growth of the Internet and electronic commerce, more and more customers browse online reviews to understand products and service reputation. Online reviews can provide decision support for customers to purchase a product that is to their satisfaction. Manufacturers can also mine and analyze valuable information in favor of design and production from online reviews. Customer satisfaction is mainly determined by perceived quality of products. Hence, this study establishes a new method to evaluate the perceived quality by combining text mining with a fuzzy comprehensive evaluation method. The new evaluation method offers ideas and methods for future work to combine text mining technology with traditional evaluation methods. Customers can also make better purchase decisions and manufacturers design and manufacture better products by using this evaluation method.",text mining,,,,,,,,,,,,,,,,,,,,,,,
29,,2018,"Lee, Hana; Yoon, Young",Engineering doc2vec for automatic classification of product descriptions on O2O applications,Electronic Commerce Research,"O2O application , doc2vec,  Online advertisement,  Intelligent classification,  Paragraph embedding","t In this paper, we develop an automatic product classifier that can become a vital part of a natural user interface for an integrated online-to-offline (O2O) service platform. We devise a novel feature extraction technique to represent product descriptions that are expressed in full natural language sentences. We specifically adapt doc2vec algorithm that implements the document embedding technique. Doc2vec is a way to predict a vector of salient contexts that are specific to a document. Our classifier is trained to classify a product description based on the doc2vec-based feature that is augmented in various ways. We trained and tested our classifier with up to 53,000 real product descriptions from Groupon, a popular social commerce site that also offers O2O commerce features such as online ordering for in-store pick-up. Compared to the baseline approaches of using bag-of-words modeling and word-level embedding, our classifier showed significant improvement in terms of classification accuracy when our adapted doc2vec-based feature was used.","word2vec, Doc2vec",,,,,,,,,,,,,,,,,,,,,,,
30,,2018,"Ou, Wei; Huynh, Van-Nam; Sriboonchitta, Songsak",Training attractive attribute classifiers based on opinion features extracted from review data,Electronic Commerce Research and Applications,"Kano model, Attractive attributes, Review data, Neural networks, Machine learning","Researchers have proposed statistical regression models that analyse on-line review data to identify attractive attributes of a product or service. This research has the same aim, but with an approach based on machine learning models instead of statistical models. The proposed approach first extracts attribute-level sentiments from the review text by natural language processing techniques, then derives features that reflect the non-linear relations between attribute performance and customer satisfaction based on the sentiments. The non-linear features are fed to the Support Vector Machine (SVM) model to train predictive attractive attribute classifiers. The proposed approach is evaluated on a hotel review dataset crawled from TripAdvisor. The experiment results indicate that the classifiers reach a precision of 79.3% and outperform the existing statistical models by a margin of over 10%.",,,,,,,,,,,,,,,,,,,,,,,,
31,,2018,"Sharma, Radhika; Ahuja, Vandana; Alavi, Shirin",The Future Scope of Netnography and Social Network Analysis in the Field of Marketing,Journal of Internet Commerce,"online marketing, Social Network Analysis","The marketing landscape has evolved to a great extent with the advent of Internet strategy integration, refined Internet marketing metrics, increase in wireless networking, rising consumer ownership of computers, the era of big data and e-commerce, influencer marketing, and the evolution of the Internet. To tap this virtual environment, newer methods of Internet research are required. This article studies the usage of two Internet research methodologies—Netnography and Social Network Analysis—and explores their potential toward the domain of marketing. An exhaustive literature review was conducted and after analyzing the previously published literature in this domain, it is seen that a clear link between these methodologies and the field of marketing has not been established. With a detailed analysis of previously published research work, using these two methodologies the authors are able to derive correlations with marketing concepts and are able to establish the future potential of the two methodologies of Netnography and Social Network Analysis as marketing research methodologies.",,,,,,,,,,,,,,,,,,,,,,,,
